invoice_id,account_id,billing_month,amount_billed
1,1,2023-01-01,1038.25
2,1,2023-02-01,1048.4
3,1,2023-03-01,1074.51
4,1,2023-04-01,1073.05
5,1,2023-05-01,951.48
6,1,2023-06-01,973.47
7,1,2023-07-01,1046.11
8,1,2023-08-01,1046.05
9,1,2023-09-01,1046.11
10,1,2023-10-01,1213.0
11,1,2023-11-01,1048.9
12,1,2023-12-01,1077.14
13,1,2024-01-01,1068.06
14,1,2024-02-01,1052.93
15,1,2024-03-01,1004.6
16,1,2024-04-01,1058.31
17,1,2024-05-01,981.72
18,1,2024-06-01,1008.52
19,1,2024-07-01,996.09
20,1,2024-08-01,1024.45
21,1,2024-09-01,1136.09
22,1,2024-10-01,927.0
23,1,2024-11-01,1054.67
24,1,2024-12-01,939.72
25,2,2023-01-01,1072.96
26,2,2023-02-01,1151.01
27,2,2023-03-01,1099.77
28,2,2023-04-01,1042.67
29,2,2023-05-01,1060.79
30,2,2023-06-01,1130.54
31,2,2023-07-01,1060.04
32,2,2023-08-01,1107.38
33,2,2023-09-01,1098.84
34,2,2023-10-01,1063.98
35,2,2023-11-01,1203.76
36,2,2023-12-01,1128.26
37,2,2024-01-01,995.3
38,2,2024-02-01,1105.88
39,2,2024-03-01,1063.47
40,2,2024-04-01,1139.18
41,2,2024-05-01,1056.93
42,2,2024-06-01,1090.82
43,2,2024-07-01,1121.81
44,2,2024-08-01,1139.85
45,2,2024-09-01,1036.55
46,2,2024-10-01,1079.83
47,2,2024-11-01,1072.81
48,2,2024-12-01,1063.89
49,3,2023-01-01,1090.51
50,3,2023-02-01,1022.49
51,3,2023-03-01,939.2
52,3,2023-04-01,1048.13
53,3,2023-05-01,1108.35
54,3,2023-06-01,1053.86
55,3,2023-07-01,926.27
56,3,2023-08-01,978.03
57,3,2023-09-01,1065.59
58,3,2023-10-01,966.86
59,3,2023-11-01,1024.43
60,3,2023-12-01,1040.97
61,3,2024-01-01,955.89
62,3,2024-02-01,999.26
63,3,2024-03-01,840.18
64,3,2024-04-01,951.02
65,3,2024-05-01,989.61
66,3,2024-06-01,939.85
67,3,2024-07-01,1083.86
68,3,2024-08-01,930.73
69,3,2024-09-01,980.24
70,3,2024-10-01,1008.78
71,3,2024-11-01,1074.3
72,3,2024-12-01,930.45
73,4,2023-01-01,955.4
74,4,2023-02-01,897.75
75,4,2023-03-01,848.16
76,4,2023-04-01,920.35
77,4,2023-05-01,907.19
78,4,2023-06-01,867.23
79,4,2023-07-01,900.73
80,4,2023-08-01,877.97
81,4,2023-09-01,902.92
82,4,2023-10-01,930.35
83,4,2023-11-01,976.54
84,4,2023-12-01,835.35
85,4,2024-01-01,1003.89
86,4,2024-02-01,799.64
87,4,2024-03-01,889.65
88,4,2024-04-01,926.66
89,4,2024-05-01,911.29
90,4,2024-06-01,866.11
91,4,2024-07-01,886.83
92,4,2024-08-01,872.59
93,4,2024-09-01,867.77
94,4,2024-10-01,939.72
95,4,2024-11-01,915.09
96,4,2024-12-01,862.59
97,5,2023-01-01,2815.18
98,5,2023-02-01,2785.56
99,5,2023-03-01,2810.84
100,5,2023-04-01,2801.68
101,5,2023-05-01,2728.75
102,5,2023-06-01,2742.19
103,5,2023-07-01,2807.56
104,5,2023-08-01,2800.72
105,5,2023-09-01,2769.15
106,5,2023-10-01,2776.07
107,5,2023-11-01,2834.08
108,5,2023-12-01,2740.62
109,5,2024-01-01,2797.55
110,5,2024-02-01,2760.09
111,5,2024-03-01,2759.32
112,5,2024-04-01,2825.14
113,5,2024-05-01,2811.47
114,5,2024-06-01,2810.88
115,5,2024-07-01,2835.47
116,5,2024-08-01,2771.25
117,5,2024-09-01,2804.3
118,5,2024-10-01,2754.69
119,5,2024-11-01,2786.41
120,5,2024-12-01,2763.69
121,6,2023-01-01,466.55
122,6,2023-02-01,491.46
123,6,2023-03-01,420.79
124,6,2023-04-01,566.32
125,6,2023-05-01,411.4
126,6,2023-06-01,400.99
127,6,2023-07-01,519.61
128,6,2023-08-01,501.28
129,6,2023-09-01,492.91
130,6,2023-10-01,493.12
131,6,2023-11-01,461.09
132,6,2023-12-01,416.84
133,6,2024-01-01,465.49
134,6,2024-02-01,427.84
135,6,2024-03-01,510.46
136,6,2024-04-01,454.35
137,6,2024-05-01,420.43
138,6,2024-06-01,445.63
139,6,2024-07-01,482.35
140,6,2024-08-01,433.51
141,6,2024-09-01,420.59
142,6,2024-10-01,473.88
143,6,2024-11-01,473.95
144,6,2024-12-01,436.35
145,7,2023-01-01,347.5
146,7,2023-02-01,382.65
147,7,2023-03-01,298.65
148,7,2023-04-01,300.68
149,7,2023-05-01,335.13
150,7,2023-06-01,360.38
151,7,2023-07-01,386.6
152,7,2023-08-01,444.82
153,7,2023-09-01,413.93
154,7,2023-10-01,363.05
155,7,2023-11-01,370.1
156,7,2023-12-01,320.92
157,7,2024-01-01,370.12
158,7,2024-02-01,356.62
159,7,2024-03-01,387.19
160,7,2024-04-01,329.69
161,7,2024-05-01,397.02
162,7,2024-06-01,447.69
163,7,2024-07-01,365.61
164,7,2024-08-01,391.14
165,7,2024-09-01,405.56
166,7,2024-10-01,350.99
167,7,2024-11-01,382.25
168,7,2024-12-01,371.68
169,8,2023-01-01,992.84
170,8,2023-02-01,949.31
171,8,2023-03-01,989.19
172,8,2023-04-01,1012.86
173,8,2023-05-01,1060.52
174,8,2023-06-01,1035.92
175,8,2023-07-01,1095.62
176,8,2023-08-01,949.59
177,8,2023-09-01,1031.58
178,8,2023-10-01,997.13
179,8,2023-11-01,1097.45
180,8,2023-12-01,947.55
181,8,2024-01-01,945.97
182,8,2024-02-01,957.99
183,8,2024-03-01,881.77
184,8,2024-04-01,961.67
185,8,2024-05-01,950.0
186,8,2024-06-01,995.48
187,8,2024-07-01,1005.05
188,8,2024-08-01,1081.77
189,8,2024-09-01,1035.48
190,8,2024-10-01,959.11
191,8,2024-11-01,943.04
192,8,2024-12-01,1012.56
193,9,2023-01-01,1070.27
194,9,2023-02-01,1227.85
195,9,2023-03-01,1195.25
196,9,2023-04-01,1112.82
197,9,2023-05-01,1050.62
198,9,2023-06-01,1203.97
199,9,2023-07-01,1130.55
200,9,2023-08-01,1198.17
201,9,2023-09-01,1056.56
202,9,2023-10-01,1106.31
203,9,2023-11-01,1136.54
204,9,2023-12-01,1138.63
205,9,2024-01-01,1113.78
206,9,2024-02-01,1167.42
207,9,2024-03-01,1082.9
208,9,2024-04-01,1129.16
209,9,2024-05-01,1142.29
210,9,2024-06-01,1162.0
211,9,2024-07-01,1171.86
212,9,2024-08-01,1080.05
213,9,2024-09-01,1059.57
214,9,2024-10-01,1200.16
215,9,2024-11-01,1152.9
216,9,2024-12-01,1098.86
217,10,2023-01-01,2614.66
218,10,2023-02-01,2542.88
219,10,2023-03-01,2596.06
220,10,2023-04-01,2540.48
221,10,2023-05-01,2640.14
222,10,2023-06-01,2624.87
223,10,2023-07-01,2524.65
224,10,2023-08-01,2585.68
225,10,2023-09-01,2569.37
226,10,2023-10-01,2605.53
227,10,2023-11-01,2488.85
228,10,2023-12-01,2571.4
229,10,2024-01-01,2590.02
230,10,2024-02-01,2449.16
231,10,2024-03-01,2477.94
232,10,2024-04-01,2435.14
233,10,2024-05-01,2523.63
234,10,2024-06-01,2572.98
235,10,2024-07-01,2612.22
236,10,2024-08-01,2540.8
237,10,2024-09-01,2618.53
238,10,2024-10-01,2468.09
239,10,2024-11-01,2451.93
240,10,2024-12-01,2534.32
241,11,2023-01-01,1154.76
242,11,2023-02-01,1133.93
243,11,2023-03-01,1032.19
244,11,2023-04-01,1131.1
245,11,2023-05-01,1070.34
246,11,2023-06-01,1169.04
247,11,2023-07-01,1153.89
248,11,2023-08-01,1088.57
249,11,2023-09-01,1109.87
250,11,2023-10-01,1082.6
251,11,2023-11-01,1132.43
252,11,2023-12-01,1183.32
253,11,2024-01-01,1086.27
254,11,2024-02-01,1160.76
255,11,2024-03-01,1109.05
256,11,2024-04-01,1095.92
257,11,2024-05-01,1130.21
258,11,2024-06-01,1083.8
259,11,2024-07-01,1107.88
260,11,2024-08-01,1075.67
261,11,2024-09-01,1233.8
262,11,2024-10-01,1137.32
263,11,2024-11-01,1100.57
264,11,2024-12-01,1146.26
265,12,2023-01-01,1130.3
266,12,2023-02-01,1124.87
267,12,2023-03-01,1166.63
268,12,2023-04-01,1173.8
269,12,2023-05-01,1109.39
270,12,2023-06-01,1107.13
271,12,2023-07-01,1122.17
272,12,2023-08-01,1020.82
273,12,2023-09-01,1060.16
274,12,2023-10-01,1204.26
275,12,2023-11-01,1218.17
276,12,2023-12-01,1123.47
277,12,2024-01-01,1164.75
278,12,2024-02-01,1151.48
279,12,2024-03-01,1289.86
280,12,2024-04-01,1191.9
281,12,2024-05-01,1129.52
282,12,2024-06-01,1088.14
283,12,2024-07-01,1055.6
284,12,2024-08-01,1146.09
285,12,2024-09-01,1098.1
286,12,2024-10-01,1064.81
287,12,2024-11-01,1103.59
288,12,2024-12-01,1081.84
289,13,2023-01-01,2711.76
290,13,2023-02-01,2671.48
291,13,2023-03-01,2627.0
292,13,2023-04-01,2701.4
293,13,2023-05-01,2631.27
294,13,2023-06-01,2584.34
295,13,2023-07-01,2703.56
296,13,2023-08-01,2654.35
297,13,2023-09-01,2575.54
298,13,2023-10-01,2617.88
299,13,2023-11-01,2583.62
300,13,2023-12-01,2558.26
301,13,2024-01-01,2673.71
302,13,2024-02-01,2722.87
303,13,2024-03-01,2557.47
304,13,2024-04-01,2655.55
305,13,2024-05-01,2594.87
306,13,2024-06-01,2603.04
307,13,2024-07-01,2597.78
308,13,2024-08-01,2584.2
309,13,2024-09-01,2629.83
310,13,2024-10-01,2585.85
311,13,2024-11-01,2640.92
312,13,2024-12-01,2624.89
313,14,2023-01-01,1188.05
314,14,2023-02-01,1154.62
315,14,2023-03-01,1171.16
316,14,2023-04-01,1237.77
317,14,2023-05-01,1225.05
318,14,2023-06-01,1151.12
319,14,2023-07-01,1204.97
320,14,2023-08-01,1237.57
321,14,2023-09-01,1116.53
322,14,2023-10-01,1227.17
323,14,2023-11-01,1166.87
324,14,2023-12-01,1228.53
325,14,2024-01-01,1161.84
326,14,2024-02-01,1109.76
327,14,2024-03-01,1118.62
328,14,2024-04-01,1202.4
329,14,2024-05-01,1212.99
330,14,2024-06-01,1154.78
331,14,2024-07-01,1231.93
332,14,2024-08-01,1116.92
333,14,2024-09-01,1196.7
334,14,2024-10-01,1139.45
335,14,2024-11-01,1167.41
336,14,2024-12-01,1202.37
337,15,2023-01-01,2956.98
338,15,2023-02-01,2980.77
339,15,2023-03-01,3050.31
340,15,2023-04-01,2971.16
341,15,2023-05-01,3041.78
342,15,2023-06-01,2943.51
343,15,2023-07-01,3026.49
344,15,2023-08-01,3072.08
345,15,2023-09-01,2876.42
346,15,2023-10-01,2960.16
347,15,2023-11-01,3028.85
348,15,2023-12-01,2989.85
349,15,2024-01-01,3018.56
350,15,2024-02-01,2969.8
351,15,2024-03-01,3004.33
352,15,2024-04-01,2992.22
353,15,2024-05-01,3058.39
354,15,2024-06-01,3012.72
355,15,2024-07-01,3016.88
356,15,2024-08-01,2979.41
357,15,2024-09-01,2975.62
358,15,2024-10-01,2978.37
359,15,2024-11-01,3019.72
360,15,2024-12-01,2978.95
361,16,2023-01-01,492.59
362,16,2023-02-01,581.87
363,16,2023-03-01,521.66
364,16,2023-04-01,461.8
365,16,2023-05-01,538.16
366,16,2023-06-01,457.7
367,16,2023-07-01,376.19
368,16,2023-08-01,427.7
369,16,2023-09-01,384.56
370,16,2023-10-01,460.52
371,16,2023-11-01,479.02
372,16,2023-12-01,561.92
373,16,2024-01-01,494.45
374,16,2024-02-01,467.14
375,16,2024-03-01,519.57
376,16,2024-04-01,367.54
377,16,2024-05-01,489.88
378,16,2024-06-01,516.64
379,16,2024-07-01,404.17
380,16,2024-08-01,535.29
381,16,2024-09-01,495.02
