account_id,support_month,tickets,support_hours,cost
1,2023-01-01,3,1.78,106.76
1,2023-02-01,6,3.97,237.93
1,2023-03-01,6,3.68,220.68
1,2023-04-01,5,7.45,447.05
1,2023-05-01,5,7.25,434.71
1,2023-06-01,6,5.64,338.32
1,2023-07-01,8,12.0,719.74
1,2023-08-01,8,8.75,524.86
1,2023-09-01,4,4.59,275.51
1,2023-10-01,12,7.46,447.3
1,2023-11-01,3,2.65,158.9
1,2023-12-01,3,2.37,142.46
1,2024-01-01,7,7.22,433.15
1,2024-02-01,3,1.84,110.5
1,2024-03-01,6,7.54,452.35
1,2024-04-01,7,6.17,370.24
1,2024-05-01,5,7.06,423.59
1,2024-06-01,6,7.12,427.11
1,2024-07-01,3,3.05,182.82
1,2024-08-01,4,4.71,282.45
1,2024-09-01,7,8.92,535.25
1,2024-10-01,4,3.88,232.88
1,2024-11-01,14,19.52,1170.96
1,2024-12-01,6,4.64,278.25
2,2023-01-01,1,0.6,36.17
2,2023-02-01,1,1.16,69.65
2,2023-03-01,1,0.55,33.14
2,2023-04-01,2,2.08,124.95
2,2023-05-01,3,3.47,208.39
2,2023-06-01,3,2.23,133.59
2,2023-07-01,2,1.71,102.38
2,2023-08-01,1,0.5,30.19
2,2023-09-01,3,3.16,189.58
2,2023-10-01,1,1.32,78.91
2,2023-11-01,0,0.0,0.0
2,2023-12-01,1,1.02,61.18
2,2024-01-01,2,1.59,95.2
2,2024-02-01,2,2.97,178.31
2,2024-03-01,2,1.6,96.05
2,2024-04-01,0,0.0,0.0
2,2024-05-01,1,1.06,63.74
2,2024-06-01,0,0.0,0.0
2,2024-07-01,0,0.0,0.0
2,2024-08-01,2,1.46,87.58
2,2024-09-01,0,0.0,0.0
2,2024-10-01,3,3.28,197.09
2,2024-11-01,0,0.0,0.0
2,2024-12-01,2,1.07,64.13
3,2023-01-01,2,2.79,167.11
3,2023-02-01,4,4.49,269.47
3,2023-03-01,1,0.57,34.31
3,2023-04-01,7,4.29,257.23
3,2023-05-01,1,1.05,62.99
3,2023-06-01,3,3.17,190.23
3,2023-07-01,3,3.96,237.7
3,2023-08-01,3,1.86,111.49
3,2023-09-01,3,4.38,262.53
3,2023-10-01,0,0.0,0.0
3,2023-11-01,2,2.9,173.79
3,2023-12-01,2,1.76,105.69
3,2024-01-01,4,4.51,270.67
3,2024-02-01,4,3.04,182.25
3,2024-03-01,2,1.1,65.96
3,2024-04-01,2,1.25,75.06
3,2024-05-01,1,1.0,60.15
3,2024-06-01,4,3.34,200.34
3,2024-07-01,6,8.49,509.69
3,2024-08-01,1,0.83,49.65
3,2024-09-01,4,2.24,134.58
3,2024-10-01,3,2.16,129.82
3,2024-11-01,2,2.81,168.59
3,2024-12-01,2,1.11,66.49
4,2023-01-01,4,2.81,168.47
4,2023-02-01,3,2.84,170.14
4,2023-03-01,2,2.08,124.51
4,2023-04-01,5,4.75,285.26
4,2023-05-01,5,2.86,171.63
4,2023-06-01,1,0.9,54.05
4,2023-07-01,4,3.11,186.66
4,2023-08-01,3,3.04,182.28
4,2023-09-01,1,0.93,55.77
4,2023-10-01,3,2.67,159.95
4,2023-11-01,4,5.82,348.98
4,2023-12-01,4,3.41,204.36
4,2024-01-01,9,9.34,560.15
4,2024-02-01,3,2.87,172.13
4,2024-03-01,4,2.66,159.89
4,2024-04-01,2,2.27,135.97
4,2024-05-01,2,2.83,169.86
4,2024-06-01,0,0.0,0.0
4,2024-07-01,3,3.76,225.55
4,2024-08-01,0,0.0,0.0
4,2024-09-01,3,4.3,258.27
4,2024-10-01,5,2.99,179.48
4,2024-11-01,4,2.57,154.44
4,2024-12-01,4,4.47,268.08
5,2023-01-01,1,0.69,41.4
5,2023-02-01,2,1.07,64.44
5,2023-03-01,7,10.0,599.94
5,2023-04-01,4,4.88,292.55
5,2023-05-01,4,3.33,199.84
5,2023-06-01,1,0.91,54.34
5,2023-07-01,8,7.86,471.67
5,2023-08-01,4,4.29,257.12
5,2023-09-01,3,3.53,211.8
5,2023-10-01,1,0.85,50.81
5,2023-11-01,5,5.13,307.81
5,2023-12-01,0,0.0,0.0
5,2024-01-01,4,3.01,180.55
5,2024-02-01,1,0.61,36.46
5,2024-03-01,6,7.86,471.6
5,2024-04-01,7,4.36,261.35
5,2024-05-01,5,4.45,267.09
5,2024-06-01,3,1.79,107.12
5,2024-07-01,2,1.46,87.67
5,2024-08-01,4,3.03,181.94
5,2024-09-01,3,3.3,197.73
5,2024-10-01,2,2.16,129.6
5,2024-11-01,1,1.07,64.04
5,2024-12-01,1,1.12,67.39
6,2023-01-01,1,1.15,68.9
6,2023-02-01,2,2.48,148.83
6,2023-03-01,1,1.05,63.15
6,2023-04-01,1,0.78,46.76
6,2023-05-01,0,0.0,0.0
6,2023-06-01,2,1.82,108.97
6,2023-07-01,0,0.0,0.0
6,2023-08-01,2,1.51,90.89
6,2023-09-01,1,0.83,50.05
6,2023-10-01,2,2.8,167.97
6,2023-11-01,0,0.0,0.0
6,2023-12-01,0,0.0,0.0
6,2024-01-01,4,4.82,289.4
6,2024-02-01,2,1.25,75.23
6,2024-03-01,1,1.01,60.8
6,2024-04-01,0,0.0,0.0
6,2024-05-01,1,1.07,63.92
6,2024-06-01,1,0.58,34.84
6,2024-07-01,0,0.0,0.0
6,2024-08-01,0,0.0,0.0
6,2024-09-01,0,0.0,0.0
6,2024-10-01,1,1.28,76.83
6,2024-11-01,3,3.93,235.54
6,2024-12-01,2,1.58,94.71
7,2023-01-01,1,0.81,48.32
7,2023-02-01,5,3.0,180.14
7,2023-03-01,2,1.93,115.95
7,2023-04-01,6,6.87,412.1
7,2023-05-01,5,7.43,445.73
7,2023-06-01,4,5.46,327.52
7,2023-07-01,3,3.45,207.3
7,2023-08-01,4,3.75,224.84
7,2023-09-01,4,5.8,348.29
7,2023-10-01,3,3.59,215.23
