account_id,usage_month,active_users,api_calls,feature_events
1,2023-01-01,32,8639,2845
1,2023-02-01,33,12198,3470
1,2023-03-01,40,11463,4118
1,2023-04-01,34,14794,5880
1,2023-05-01,35,9286,5091
1,2023-06-01,32,3685,7450
1,2023-07-01,35,11194,4930
1,2023-08-01,31,9442,3080
1,2023-09-01,46,6296,3761
1,2023-10-01,32,13864,5017
1,2023-11-01,28,13763,5877
1,2023-12-01,37,12147,7873
1,2024-01-01,45,7939,6948
1,2024-02-01,36,11497,2969
1,2024-03-01,34,7561,5993
1,2024-04-01,40,3776,4973
1,2024-05-01,40,9439,5874
1,2024-06-01,36,11024,4674
1,2024-07-01,28,6635,5851
1,2024-08-01,35,9584,4491
1,2024-09-01,33,13140,4597
1,2024-10-01,28,12230,4754
1,2024-11-01,35,14822,4975
1,2024-12-01,36,6463,4736
2,2023-01-01,71,5333,5241
2,2023-02-01,68,10123,6244
2,2023-03-01,69,14434,3807
2,2023-04-01,68,10253,3716
2,2023-05-01,72,16974,4979
2,2023-06-01,70,10253,4143
2,2023-07-01,58,7882,3329
2,2023-08-01,76,9654,4584
2,2023-09-01,72,6634,4079
2,2023-10-01,68,13086,5602
2,2023-11-01,69,10234,5480
2,2023-12-01,69,6910,5055
2,2024-01-01,62,10243,4423
2,2024-02-01,80,9880,3314
2,2024-03-01,67,11558,7008
2,2024-04-01,65,5252,5980
2,2024-05-01,61,8691,4690
2,2024-06-01,67,12067,4179
2,2024-07-01,66,9957,5179
2,2024-08-01,68,11308,6012
2,2024-09-01,69,11360,3101
2,2024-10-01,68,11438,5874
2,2024-11-01,64,8022,4311
2,2024-12-01,70,13101,4511
3,2023-01-01,83,10370,4850
3,2023-02-01,77,12239,5390
3,2023-03-01,90,7443,5621
3,2023-04-01,76,7392,4986
3,2023-05-01,79,18754,4779
3,2023-06-01,73,10819,2510
3,2023-07-01,78,10048,5953
3,2023-08-01,83,8489,4819
3,2023-09-01,75,6615,5371
3,2023-10-01,72,8756,3805
3,2023-11-01,81,15404,3438
3,2023-12-01,69,9625,5018
3,2024-01-01,80,8661,4759
3,2024-02-01,80,13121,2653
3,2024-03-01,77,10641,3898
3,2024-04-01,87,8093,4950
3,2024-05-01,81,8226,2784
3,2024-06-01,76,13088,4595
3,2024-07-01,74,12777,4603
3,2024-08-01,76,10448,5924
3,2024-09-01,90,12481,6391
3,2024-10-01,76,6922,5074
3,2024-11-01,79,6764,4789
3,2024-12-01,80,11081,5605
4,2023-01-01,24,8478,4383
